Learner Type,Household Count,Transportation Used,Favorite Sport,HS Grad,FT Worker,Height,BA Degree,Major,City,Clss Modality,Favorite Color,Exercise Hours,Meals Per Day,Units Enrolled
visual,8,private car,basketball,Yes,No,59,Yes,Mathematics,Daly City,Face-to-face,pink,4,2,12
visual,4,public transit,Basketball ,Yes,No,69,No,Computer Science ,Daly City,Face-to-face,Green,3,4,20
visual,4,private car,football,Yes,No,70,No,math,South San Francisco,Face-to-face,purple,25,4,7
visual,4,ride-share,ballet,Yes,No,60,No,Medical science,South San Francisco,Online,blue or violet,3,3,12
visual,4,public transit,Baseball,Yes,Yes,67.2,No,Mathamatics,South San Francisco ,Face-to-face,Black,3,2,12
visual,3,private car,soccer,Yes,No,72,No,Mechanical Engineering,Daly city,Hybrid,green,12,3,12
auditory,2,private car,Biking,Yes,No,72,No,Business,Daly City,Face-to-face,Orange,2,3,15
visual,6,private car,Wrestling ,Yes,Yes,68,No,Undecided ,Half moon bay,Face-to-face,Green,10,3,5
auditory,3,public transit,Football,Yes,No,69,No,Bus. Managing,Daly city,Face-to-face,Red,15,2,8
visual,5,private car,Volleyball,No,No,69,No,Electrical Engineering,South San Francsico,Face-to-face,Purple,5,4,20
visual,5,private car,Basketball,Yes,No,70,No,Data Science,Daly City,Face-to-face,Black,6,2,13
visual,10,public transit,swimming,Yes,No,69,No,Data Science,Daly City,Online,Brown,10,2,12
visual,3,public transit,Basketball,Yes,No,58,No,Engineering,Daly City,Face-to-face,Red,8,3,13
visual,3,private car,Football and baseball ,Yes,No,71,No,automotive i think ,San Mateo ,Face-to-face,Red ,3,3,4
visual,4,private car,Soccer,Yes,No,65,No,Computer Science,South San Francisco,Face-to-face,Black,10,4,8
visual,3,private car,Hockey,Yes,No,72,No,Business,San Mateo,Face-to-face,Red,2,3,12
visual,4,private car,baseball,Yes,No,66,No,psychology,montara,Face-to-face,purple,3,3,10
visual,3,private car,Basketball,Yes,No,69,No,Computer Science,San Bruno,Face-to-face,Yellow,5,2,4
visual,4,private car,badminton,Yes,No,62,No,Allied Health,Daly City,Face-to-face,purple,6,2,10
visual,4,public transit,play basketball ,Yes,No,167,No,ESL ,Daly City,Face-to-face,black,5,2,16
